"","year","Model","Model2","Model3","Model4","Price","Milage","Autom","rul","gas","color","Other","View","Date","ID","Fullname","volume","condition","privod","url"
"236","2000","Volkswagen","Passat","</span>","1.8 T","3000","310000","Manual","Left","Gas","Silver","<span style=""background-color:#000000""></span>Black","Sedan","29.06.2022","autoam 322","Volkswagen Passat </span>",NA,NA,NA,NA
"246","1998","Volkswagen","Golf","</span>","1’6","3000","120000","Manual","Left","Gasoline","White","ABS","Hatchback","02.11.2021","autoam 323","Volkswagen Golf </span>",NA,NA,NA,NA
"256","1995","Mercedes-Benz","E","200","200 W124","2700","300000","Manual","Left","Gasoline","Gray","<span style=""background-color:#000000""></span>Black","Sedan","06.04.2021","autoam 324","Mercedes-Benz E 200",NA,NA,NA,NA
"266","2000","Volkswagen","Caddy","</span>","1.4 vvt","2900","287000","Manual","Left","Gas","Silver","","Van","21.09.2020","autoam 325","Volkswagen Caddy </span>",NA,NA,NA,NA
"276","1994","Mercedes-Benz","C","180","180","2900","340000","Manual","Left","Gas","Silver","<span style=""background-color:#c7c7c7""></span>Gray","Sedan","21.09.2020","autoam 326","Mercedes-Benz C 180",NA,NA,NA,NA
"286","1998","Volkswagen","Golf","</span>","","3400","330000","Manual","Left","Gas","Black","<span style=""background-color:#000000""></span>Black","Hatchback","01.07.2022","autoam 327","Volkswagen Golf </span>",NA,NA,NA,NA
"296","1995","Mercedes-Benz","E","200","200 1.6 գազ","2900","325000","Manual","Left","Gas","Beige","<span style=""background-color:#ccb486""></span>Beige","Sedan","05.02.2022","autoam 328","Mercedes-Benz E 200",NA,NA,NA,NA
"306","1996","Volkswagen","Vento","</span>","","2800","169000","Automatic","Left","Gas","Cherry","<span style=""background-color:#c7c7c7""></span>Gray","Sedan","22.12.2021","autoam 329","Volkswagen Vento </span>",NA,NA,NA,NA
"3110","1996","Volkswagen","Vento","</span>","","2800","190000","Manual","Left","Gasoline","Green","","Sedan","20.01.2022","autoam 330","Volkswagen Vento </span>",NA,NA,NA,NA
"326","1995","Mercedes-Benz","E","280","280 2.8","2800","450","Manual","Left","Gas","Black","","Sedan","08.01.2022","autoam 331","Mercedes-Benz E 280",NA,NA,NA,NA
